invoice_id,customer_id,billing_date,region,customer_segment,product,expected_amount,billed_amount,leakage_amount,billing_variance_pct,discount_pct,payment_status,amount_paid,overdue_amount,days_overdue,issue_type
INV-1036,CUST-201,2026-03-12,East,Enterprise,Basic Plan,580.08,569.15,10.93,-1.88,0,Pending,62.0,507.15,2,None
INV-1037,CUST-202,2026-03-14,South,Mid-Market,Basic Plan,525.2,515.28,9.92,-1.89,15,Paid,515.28,0.0,0,None
INV-1038,CUST-203,2026-03-16,North,SMB,Pro Plan,938.92,901.63,37.29,-3.97,5,Paid,901.63,0.0,0,None
INV-1039,CUST-204,2026-03-18,East,SMB,Pro Plan,1142.69,1148.26,-5.57,0.49,0,Paid,1148.26,0.0,0,None
INV-1040,CUST-205,2026-03-20,South,Mid-Market,Enterprise Plan,3652.02,2465.76,1186.26,-32.48,0,Paid,2465.76,0.0,0,Pricing Error
INV-1041,CUST-206,2026-03-22,North,Enterprise,Basic Plan,438.64,424.7,13.94,-3.18,20,Overdue,103.4,321.3,67,None
INV-1042,CUST-207,2026-03-24,South,Enterprise,Basic Plan,419.06,429.11,-10.05,2.4,5,Overdue,19.24,409.87,18,None
INV-1043,CUST-208,2026-03-26,East,Mid-Market,Pro Plan,1125.71,1146.88,-21.17,1.88,5,Paid,1146.88,0.0,0,None
INV-1044,CUST-209,2026-03-28,North,SMB,Basic Plan,488.41,283.25,205.16,-42.01,50,Paid,283.25,0.0,0,Duplicate Credit
INV-1045,CUST-210,2026-03-30,South,SMB,Enterprise Plan,3357.55,4120.93,-763.38,22.74,10,Paid,4120.93,0.0,0,Pricing Error
INV-1046,CUST-211,2026-04-01,West,Mid-Market,Enterprise Plan,3249.84,3127.02,122.82,-3.78,10,Paid,3127.02,0.0,0,None
INV-1047,CUST-212,2026-04-03,East,SMB,Pro Plan,971.7,993.97,-22.27,2.29,15,Paid,993.97,0.0,0,None
INV-1048,CUST-213,2026-04-05,North,SMB,Pro Plan,928.49,944.0,-15.51,1.67,0,Paid,944.0,0.0,0,None
INV-1049,CUST-214,2026-04-07,South,SMB,Basic Plan,531.95,524.72,7.23,-1.36,10,Pending,151.07,373.65,1,None
INV-1050,CUST-215,2026-04-09,East,Mid-Market,Enterprise Plan,3241.89,2491.47,750.42,-23.15,5,Paid,2491.47,0.0,0,Usage Mismatch
INV-1051,CUST-216,2026-04-11,West,Mid-Market,Usage Add-on,810.43,797.52,12.91,-1.59,20,Overdue,57.2,740.32,53,None
INV-1052,CUST-217,2026-04-13,West,Mid-Market,Enterprise Plan,3235.6,3220.53,15.07,-0.47,5,Paid,3220.53,0.0,0,None
INV-1053,CUST-218,2026-04-15,South,Mid-Market,Basic Plan,531.87,536.94,-5.07,0.95,0,Pending,144.5,392.44,3,None
INV-1054,CUST-219,2026-04-17,South,Enterprise,Basic Plan,392.9,408.11,-15.21,3.87,20,Overdue,46.46,361.65,24,None
INV-1055,CUST-220,2026-04-19,South,Mid-Market,Pro Plan,997.34,969.22,28.12,-2.82,0,Overdue,188.62,780.6,28,None
INV-1056,CUST-221,2026-04-21,South,SMB,Usage Add-on,776.29,748.36,27.93,-3.6,5,Overdue,85.4,662.96,30,None
INV-1057,CUST-222,2026-04-23,West,Mid-Market,Usage Add-on,803.41,832.34,-28.93,3.6,15,Paid,832.34,0.0,0,None
INV-1058,CUST-223,2026-04-25,West,Enterprise,Pro Plan,1233.67,1257.72,-24.05,1.95,15,Paid,1257.72,0.0,0,None
INV-1059,CUST-224,2026-04-27,South,Enterprise,Basic Plan,557.48,556.79,0.69,-0.12,5,Paid,556.79,0.0,0,None
INV-1060,CUST-225,2026-04-29,North,Mid-Market,Basic Plan,458.07,367.29,90.78,-19.82,5,Paid,367.29,0.0,0,Pricing Error
INV-1061,CUST-226,2026-05-01,West,Mid-Market,Enterprise Plan,2822.77,2801.9,20.87,-0.74,20,Paid,2801.9,0.0,0,None
INV-1062,CUST-227,2026-05-03,North,SMB,Pro Plan,1237.3,1245.62,-8.32,0.67,0,Overdue,118.45,1127.17,88,None
INV-1063,CUST-228,2026-05-05,North,Enterprise,Basic Plan,470.25,484.98,-14.73,3.13,15,Paid,484.98,0.0,0,None
INV-1064,CUST-229,2026-05-07,South,Mid-Market,Basic Plan,491.77,487.4,4.37,-0.89,15,Pending,179.27,308.13,7,None
INV-1065,CUST-230,2026-05-09,North,Enterprise,Pro Plan,1122.42,1085.06,37.36,-3.33,15,Paid,1085.06,0.0,0,None
INV-1066,CUST-231,2026-05-11,West,SMB,Basic Plan,456.15,281.99,174.16,-38.18,45,Pending,31.39,250.6,6,Duplicate Credit
INV-1067,CUST-232,2026-05-13,West,SMB,Basic Plan,386.86,388.08,-1.22,0.32,10,Paid,388.08,0.0,0,None
INV-1068,CUST-233,2026-05-15,North,Mid-Market,Enterprise Plan,3926.77,4068.01,-141.24,3.6,5,Overdue,154.97,3913.04,94,None
INV-1069,CUST-234,2026-05-17,South,Mid-Market,Basic Plan,595.75,594.08,1.67,-0.28,10,Pending,143.98,450.1,2,None
INV-1070,CUST-235,2026-05-19,North,Mid-Market,Basic Plan,452.48,338.63,113.85,-25.16,40,Paid,338.63,0.0,0,Expired Discount
INV-1071,CUST-201,2026-05-21,South,SMB,Enterprise Plan,3723.59,3605.0,118.59,-3.18,10,Overdue,725.98,2879.02,91,None
INV-1072,CUST-202,2026-05-23,North,SMB,Pro Plan,983.52,983.99,-0.47,0.05,10,Paid,983.99,0.0,0,None
INV-1073,CUST-203,2026-05-25,West,Enterprise,Basic Plan,598.68,605.17,-6.49,1.08,15,Pending,42.64,562.53,6,None
INV-1074,CUST-204,2026-05-27,East,Mid-Market,Usage Add-on,866.12,863.69,2.43,-0.28,20,Paid,863.69,0.0,0,None
INV-1075,CUST-205,2026-05-29,South,Enterprise,Basic Plan,580.87,709.51,-128.64,22.15,20,Paid,709.51,0.0,0,Manual Adjustment
INV-1076,CUST-206,2026-05-31,West,SMB,Pro Plan,961.88,960.92,0.96,-0.1,10,Pending,107.49,853.43,5,None
INV-1077,CUST-207,2026-06-02,East,Mid-Market,Pro Plan,898.25,879.66,18.59,-2.07,15,Paid,879.66,0.0,0,None
INV-1078,CUST-208,2026-06-04,South,Mid-Market,Enterprise Plan,3505.31,3587.46,-82.15,2.34,0,Paid,3587.46,0.0,0,None
INV-1079,CUST-209,2026-06-06,West,Mid-Market,Pro Plan,1083.74,1081.42,2.32,-0.21,20,Paid,1081.42,0.0,0,None
INV-1080,CUST-210,2026-06-08,East,SMB,Pro Plan,953.15,656.9,296.25,-31.08,5,Paid,656.9,0.0,0,Usage Mismatch
INV-1081,CUST-211,2026-06-10,South,SMB,Enterprise Plan,3162.4,3185.06,-22.66,0.72,20,Paid,3185.06,0.0,0,None
INV-1082,CUST-212,2026-06-12,North,Enterprise,Basic Plan,463.7,456.36,7.34,-1.58,20,Paid,456.36,0.0,0,None
INV-1083,CUST-213,2026-06-14,North,Enterprise,Pro Plan,1138.77,1104.72,34.05,-2.99,15,Paid,1104.72,0.0,0,None
INV-1084,CUST-214,2026-06-16,North,Mid-Market,Pro Plan,1016.72,991.05,25.67,-2.52,0,Paid,991.05,0.0,0,None
INV-1085,CUST-215,2026-06-18,West,SMB,Basic Plan,493.14,496.18,-3.04,0.62,0,Paid,496.18,0.0,0,None
INV-1086,CUST-216,2026-06-20,East,SMB,Basic Plan,508.07,504.66,3.41,-0.67,20,Pending,156.58,348.08,3,None
INV-1087,CUST-217,2026-06-22,West,Mid-Market,Pro Plan,1216.08,1263.75,-47.67,3.92,10,Paid,1263.75,0.0,0,None
INV-1088,CUST-218,2026-06-24,North,Mid-Market,Enterprise Plan,4236.14,2461.91,1774.23,-41.88,40,Paid,2461.91,0.0,0,Duplicate Credit
INV-1089,CUST-219,2026-06-26,North,SMB,Basic Plan,399.39,383.5,15.89,-3.98,15,Pending,44.68,338.82,7,None
INV-1090,CUST-220,2026-06-28,South,SMB,Basic Plan,575.91,381.31,194.6,-33.79,10,Pending,89.96,291.35,10,Pricing Error
INV-1091,CUST-221,2026-06-30,South,SMB,Pro Plan,1115.13,1151.56,-36.43,3.27,5,Paid,1151.56,0.0,0,None
INV-1092,CUST-222,2026-07-02,South,Mid-Market,Pro Plan,1199.01,1239.41,-40.4,3.37,15,Paid,1239.41,0.0,0,None
INV-1093,CUST-223,2026-07-04,East,Mid-Market,Usage Add-on,770.17,769.79,0.38,-0.05,0,Paid,769.79,0.0,0,None
INV-1094,CUST-224,2026-07-06,West,Mid-Market,Enterprise Plan,2761.38,2701.5,59.88,-2.17,20,Paid,2701.5,0.0,0,None
INV-1095,CUST-225,2026-07-08,North,Enterprise,Enterprise Plan,3151.22,3035.31,115.91,-3.68,5,Paid,3035.31,0.0,0,None
INV-1096,CUST-226,2026-07-10,West,Enterprise,Basic Plan,514.2,519.74,-5.54,1.08,15,Overdue,45.21,474.53,75,None
INV-1097,CUST-227,2026-07-12,East,SMB,Basic Plan,418.69,415.73,2.96,-0.71,15,Paid,415.73,0.0,0,None
INV-1098,CUST-228,2026-07-14,West,Enterprise,Pro Plan,1023.54,1008.35,15.19,-1.48,10,Paid,1008.35,0.0,0,None
INV-1099,CUST-229,2026-07-16,West,Enterprise,Enterprise Plan,2721.84,2802.27,-80.43,2.95,15,Paid,2802.27,0.0,0,None
INV-1100,CUST-230,2026-07-18,South,Mid-Market,Enterprise Plan,3517.59,2550.77,966.82,-27.49,5,Paid,2550.77,0.0,0,Pricing Error
